INFO:root:Clock Speed: 1
INFO:root:Internal Event: System Time - 1678138104.813523, Logical Clock Time - 1, Queue Length - 0
INFO:root:Received Message: System Time - 1678138105.8214478, Logical Clock Time - 2, Queue Length - 1
INFO:root:Received Message: System Time - 1678138106.828615, Logical Clock Time - 5, Queue Length - 3
INFO:root:Received Message: System Time - 1678138107.835468, Logical Clock Time - 7, Queue Length - 3
INFO:root:Received Message: System Time - 1678138108.8431711, Logical Clock Time - 8, Queue Length - 5
INFO:root:Received Message: System Time - 1678138109.847202, Logical Clock Time - 13, Queue Length - 4
INFO:root:Received Message: System Time - 1678138110.853546, Logical Clock Time - 24, Queue Length - 3
INFO:root:Received Message: System Time - 1678138111.859858, Logical Clock Time - 32, Queue Length - 4
INFO:root:Received Message: System Time - 1678138112.862408, Logical Clock Time - 33, Queue Length - 3
INFO:root:Received Message: System Time - 1678138113.865552, Logical Clock Time - 34, Queue Length - 4
INFO:root:Received Message: System Time - 1678138114.872931, Logical Clock Time - 55, Queue Length - 5
INFO:root:Received Message: System Time - 1678138115.880317, Logical Clock Time - 58, Queue Length - 5
INFO:root:Received Message: System Time - 1678138116.884984, Logical Clock Time - 71, Queue Length - 5
INFO:root:Received Message: System Time - 1678138117.890281, Logical Clock Time - 73, Queue Length - 5
INFO:root:Received Message: System Time - 1678138118.8930109, Logical Clock Time - 81, Queue Length - 6
INFO:root:Received Message: System Time - 1678138119.899683, Logical Clock Time - 82, Queue Length - 5
INFO:root:Received Message: System Time - 1678138120.9031339, Logical Clock Time - 93, Queue Length - 5
INFO:root:Received Message: System Time - 1678138121.909618, Logical Clock Time - 98, Queue Length - 5
INFO:root:Received Message: System Time - 1678138122.914112, Logical Clock Time - 112, Queue Length - 6
INFO:root:Received Message: System Time - 1678138123.92027, Logical Clock Time - 116, Queue Length - 6
INFO:root:Received Message: System Time - 1678138124.926668, Logical Clock Time - 118, Queue Length - 6
INFO:root:Received Message: System Time - 1678138125.9348469, Logical Clock Time - 132, Queue Length - 8
INFO:root:Received Message: System Time - 1678138126.941493, Logical Clock Time - 141, Queue Length - 8
INFO:root:Received Message: System Time - 1678138127.9489322, Logical Clock Time - 150, Queue Length - 7
INFO:root:Received Message: System Time - 1678138128.953255, Logical Clock Time - 151, Queue Length - 8
INFO:root:Received Message: System Time - 1678138129.957825, Logical Clock Time - 157, Queue Length - 8
INFO:root:Received Message: System Time - 1678138130.9639292, Logical Clock Time - 167, Queue Length - 8
INFO:root:Received Message: System Time - 1678138131.9659488, Logical Clock Time - 179, Queue Length - 8
INFO:root:Received Message: System Time - 1678138132.970143, Logical Clock Time - 180, Queue Length - 8
INFO:root:Received Message: System Time - 1678138133.977498, Logical Clock Time - 181, Queue Length - 8
INFO:root:Received Message: System Time - 1678138134.981351, Logical Clock Time - 185, Queue Length - 8
INFO:root:Received Message: System Time - 1678138135.988202, Logical Clock Time - 201, Queue Length - 9
INFO:root:Received Message: System Time - 1678138136.995409, Logical Clock Time - 203, Queue Length - 10
INFO:root:Received Message: System Time - 1678138138.001882, Logical Clock Time - 204, Queue Length - 10
INFO:root:Received Message: System Time - 1678138139.0088918, Logical Clock Time - 221, Queue Length - 10
INFO:root:Received Message: System Time - 1678138140.013128, Logical Clock Time - 225, Queue Length - 11
INFO:root:Received Message: System Time - 1678138141.019624, Logical Clock Time - 235, Queue Length - 11
INFO:root:Received Message: System Time - 1678138142.027086, Logical Clock Time - 249, Queue Length - 10
INFO:root:Received Message: System Time - 1678138143.029396, Logical Clock Time - 250, Queue Length - 9
INFO:root:Received Message: System Time - 1678138144.0364, Logical Clock Time - 257, Queue Length - 9
INFO:root:Received Message: System Time - 1678138145.043672, Logical Clock Time - 262, Queue Length - 8
INFO:root:Received Message: System Time - 1678138146.046638, Logical Clock Time - 271, Queue Length - 8
INFO:root:Received Message: System Time - 1678138147.049713, Logical Clock Time - 272, Queue Length - 10
INFO:root:Received Message: System Time - 1678138148.055578, Logical Clock Time - 283, Queue Length - 9
INFO:root:Received Message: System Time - 1678138149.059362, Logical Clock Time - 291, Queue Length - 11
INFO:root:Received Message: System Time - 1678138150.0663838, Logical Clock Time - 298, Queue Length - 10
INFO:root:Received Message: System Time - 1678138151.073243, Logical Clock Time - 301, Queue Length - 11
INFO:root:Received Message: System Time - 1678138152.07673, Logical Clock Time - 307, Queue Length - 12
INFO:root:Received Message: System Time - 1678138153.084352, Logical Clock Time - 334, Queue Length - 13
INFO:root:Received Message: System Time - 1678138154.092043, Logical Clock Time - 347, Queue Length - 13
INFO:root:Received Message: System Time - 1678138155.097939, Logical Clock Time - 353, Queue Length - 14
INFO:root:Received Message: System Time - 1678138156.099099, Logical Clock Time - 357, Queue Length - 13
INFO:root:Received Message: System Time - 1678138157.1070871, Logical Clock Time - 360, Queue Length - 13
INFO:root:Received Message: System Time - 1678138158.1104598, Logical Clock Time - 374, Queue Length - 13
INFO:root:Received Message: System Time - 1678138159.114101, Logical Clock Time - 375, Queue Length - 14
INFO:root:Received Message: System Time - 1678138160.121624, Logical Clock Time - 376, Queue Length - 13
INFO:root:Received Message: System Time - 1678138161.126847, Logical Clock Time - 390, Queue Length - 12
INFO:root:Received Message: System Time - 1678138162.1327941, Logical Clock Time - 393, Queue Length - 12
INFO:root:Received Message: System Time - 1678138163.138549, Logical Clock Time - 400, Queue Length - 13
INFO:root:Received Message: System Time - 1678138164.145061, Logical Clock Time - 404, Queue Length - 12
