INFO:root:Clock Speed: 2
INFO:root:Sent Message: System Time - 1678137660.639725, Logical Clock Time - 1, Queue Length - 0, Message - [machine 0, task 3] the time is 0
INFO:root:Sent Message: System Time - 1678137661.1435468, Logical Clock Time - 2, Queue Length - 0, Message - [machine 0, task 1] the time is 1
INFO:root:Sent Message: System Time - 1678137661.645503, Logical Clock Time - 3, Queue Length - 0, Message - [machine 0, task 2] the time is 2
INFO:root:Received Message: System Time - 1678137662.152262, Logical Clock Time - 4, Queue Length - 1
INFO:root:Received Message: System Time - 1678137662.6596138, Logical Clock Time - 5, Queue Length - 1
INFO:root:Received Message: System Time - 1678137663.1646311, Logical Clock Time - 6, Queue Length - 2
INFO:root:Received Message: System Time - 1678137663.671944, Logical Clock Time - 7, Queue Length - 1
INFO:root:Received Message: System Time - 1678137664.177428, Logical Clock Time - 8, Queue Length - 1
INFO:root:Received Message: System Time - 1678137664.680726, Logical Clock Time - 10, Queue Length - 1
INFO:root:Received Message: System Time - 1678137665.1843321, Logical Clock Time - 12, Queue Length - 1
INFO:root:Received Message: System Time - 1678137665.687739, Logical Clock Time - 13, Queue Length - 0
INFO:root:Received Message: System Time - 1678137666.193368, Logical Clock Time - 17, Queue Length - 0
INFO:root:Received Message: System Time - 1678137666.699049, Logical Clock Time - 18, Queue Length - 0
INFO:root:Received Message: System Time - 1678137667.206868, Logical Clock Time - 19, Queue Length - 1
INFO:root:Received Message: System Time - 1678137667.710581, Logical Clock Time - 20, Queue Length - 1
INFO:root:Received Message: System Time - 1678137668.21468, Logical Clock Time - 21, Queue Length - 2
INFO:root:Received Message: System Time - 1678137668.720397, Logical Clock Time - 22, Queue Length - 2
INFO:root:Received Message: System Time - 1678137669.222134, Logical Clock Time - 23, Queue Length - 3
INFO:root:Received Message: System Time - 1678137669.726461, Logical Clock Time - 24, Queue Length - 3
INFO:root:Received Message: System Time - 1678137670.232529, Logical Clock Time - 25, Queue Length - 3
INFO:root:Received Message: System Time - 1678137670.7395442, Logical Clock Time - 26, Queue Length - 3
INFO:root:Received Message: System Time - 1678137671.246869, Logical Clock Time - 27, Queue Length - 4
INFO:root:Received Message: System Time - 1678137671.751429, Logical Clock Time - 29, Queue Length - 4
INFO:root:Received Message: System Time - 1678137672.252224, Logical Clock Time - 30, Queue Length - 4
INFO:root:Received Message: System Time - 1678137672.7579699, Logical Clock Time - 31, Queue Length - 4
INFO:root:Received Message: System Time - 1678137673.2657778, Logical Clock Time - 32, Queue Length - 5
INFO:root:Received Message: System Time - 1678137673.771625, Logical Clock Time - 33, Queue Length - 5
INFO:root:Received Message: System Time - 1678137674.276928, Logical Clock Time - 34, Queue Length - 5
INFO:root:Received Message: System Time - 1678137674.779613, Logical Clock Time - 36, Queue Length - 4
INFO:root:Received Message: System Time - 1678137675.285247, Logical Clock Time - 37, Queue Length - 5
INFO:root:Received Message: System Time - 1678137675.791083, Logical Clock Time - 38, Queue Length - 4
INFO:root:Received Message: System Time - 1678137676.2993479, Logical Clock Time - 39, Queue Length - 5
INFO:root:Received Message: System Time - 1678137676.806863, Logical Clock Time - 41, Queue Length - 5
INFO:root:Received Message: System Time - 1678137677.314819, Logical Clock Time - 43, Queue Length - 5
INFO:root:Received Message: System Time - 1678137677.818797, Logical Clock Time - 44, Queue Length - 5
INFO:root:Received Message: System Time - 1678137678.325154, Logical Clock Time - 46, Queue Length - 5
INFO:root:Received Message: System Time - 1678137678.831081, Logical Clock Time - 47, Queue Length - 5
INFO:root:Received Message: System Time - 1678137679.337983, Logical Clock Time - 48, Queue Length - 6
INFO:root:Received Message: System Time - 1678137679.843859, Logical Clock Time - 50, Queue Length - 5
INFO:root:Received Message: System Time - 1678137680.349746, Logical Clock Time - 51, Queue Length - 5
INFO:root:Received Message: System Time - 1678137680.8529751, Logical Clock Time - 53, Queue Length - 4
INFO:root:Received Message: System Time - 1678137681.359277, Logical Clock Time - 54, Queue Length - 5
INFO:root:Received Message: System Time - 1678137681.863234, Logical Clock Time - 55, Queue Length - 5
INFO:root:Received Message: System Time - 1678137682.369073, Logical Clock Time - 56, Queue Length - 6
INFO:root:Received Message: System Time - 1678137682.872122, Logical Clock Time - 59, Queue Length - 6
INFO:root:Received Message: System Time - 1678137683.377675, Logical Clock Time - 61, Queue Length - 6
INFO:root:Received Message: System Time - 1678137683.8846369, Logical Clock Time - 62, Queue Length - 6
INFO:root:Received Message: System Time - 1678137684.386284, Logical Clock Time - 63, Queue Length - 6
INFO:root:Received Message: System Time - 1678137684.892979, Logical Clock Time - 64, Queue Length - 6
INFO:root:Received Message: System Time - 1678137685.398654, Logical Clock Time - 65, Queue Length - 6
INFO:root:Received Message: System Time - 1678137685.904209, Logical Clock Time - 66, Queue Length - 6
INFO:root:Received Message: System Time - 1678137686.4111202, Logical Clock Time - 67, Queue Length - 6
INFO:root:Received Message: System Time - 1678137686.918967, Logical Clock Time - 69, Queue Length - 7
INFO:root:Received Message: System Time - 1678137687.426204, Logical Clock Time - 70, Queue Length - 6
INFO:root:Received Message: System Time - 1678137687.931453, Logical Clock Time - 71, Queue Length - 6
INFO:root:Received Message: System Time - 1678137688.438495, Logical Clock Time - 73, Queue Length - 6
INFO:root:Received Message: System Time - 1678137688.944205, Logical Clock Time - 74, Queue Length - 7
INFO:root:Received Message: System Time - 1678137689.45228, Logical Clock Time - 76, Queue Length - 7
INFO:root:Received Message: System Time - 1678137689.9608052, Logical Clock Time - 77, Queue Length - 7
INFO:root:Received Message: System Time - 1678137690.4682481, Logical Clock Time - 78, Queue Length - 7
INFO:root:Received Message: System Time - 1678137690.973854, Logical Clock Time - 81, Queue Length - 7
INFO:root:Received Message: System Time - 1678137691.477844, Logical Clock Time - 82, Queue Length - 6
INFO:root:Received Message: System Time - 1678137691.985423, Logical Clock Time - 83, Queue Length - 7
INFO:root:Received Message: System Time - 1678137692.493091, Logical Clock Time - 84, Queue Length - 7
INFO:root:Received Message: System Time - 1678137692.9968462, Logical Clock Time - 85, Queue Length - 8
INFO:root:Received Message: System Time - 1678137693.502655, Logical Clock Time - 86, Queue Length - 8
INFO:root:Received Message: System Time - 1678137694.009793, Logical Clock Time - 88, Queue Length - 8
INFO:root:Received Message: System Time - 1678137694.5171578, Logical Clock Time - 90, Queue Length - 8
INFO:root:Received Message: System Time - 1678137695.021441, Logical Clock Time - 92, Queue Length - 7
