INFO:root:Clock Speed: 3
INFO:root:Received Message: System Time - 1678137660.6411269, Logical Clock Time - 1, Queue Length - 1
INFO:root:Received Message: System Time - 1678137660.979755, Logical Clock Time - 2, Queue Length - 0
INFO:root:Received Message: System Time - 1678137661.3186939, Logical Clock Time - 3, Queue Length - 0
INFO:root:Sent Message: System Time - 1678137661.657702, Logical Clock Time - 4, Queue Length - 0, Message - [machine 1, task 2] the time is 3
INFO:root:Sent Message: System Time - 1678137661.997709, Logical Clock Time - 5, Queue Length - 0, Message - [machine 1, task 2] the time is 4
INFO:root:Sent Message: System Time - 1678137662.338943, Logical Clock Time - 6, Queue Length - 0, Message - [machine 1, task 3] the time is 5
INFO:root:Sent Message: System Time - 1678137662.6771111, Logical Clock Time - 7, Queue Length - 0, Message - [machine 1, task 2] the time is 6
INFO:root:Sent Message: System Time - 1678137663.016521, Logical Clock Time - 8, Queue Length - 0, Message - [machine 1, task 3] the time is 7
INFO:root:Sent Message: System Time - 1678137663.3532631, Logical Clock Time - 9, Queue Length - 0, Message - [machine 1, task 1] the time is 8
INFO:root:Sent Message: System Time - 1678137663.689075, Logical Clock Time - 10, Queue Length - 0, Message - [machine 1, task 2] the time is 9
INFO:root:Sent Message: System Time - 1678137664.0294552, Logical Clock Time - 11, Queue Length - 0, Message - [machine 1, task 1] the time is 10
INFO:root:Sent Message: System Time - 1678137664.369229, Logical Clock Time - 12, Queue Length - 0, Message - [machine 1, task 3] the time is 11
INFO:root:Sent Message: System Time - 1678137664.708728, Logical Clock Time - 13, Queue Length - 0, Message - [machine 1, task 3] the time is 12
INFO:root:Sent Message: System Time - 1678137665.046145, Logical Clock Time - 14, Queue Length - 0, Message - [machine 1, task 1] the time is 13
INFO:root:Sent Message: System Time - 1678137665.387869, Logical Clock Time - 15, Queue Length - 0, Message - [machine 1, task 1] the time is 14
INFO:root:Sent Message: System Time - 1678137665.7253919, Logical Clock Time - 16, Queue Length - 0, Message - [machine 1, task 1] the time is 15
INFO:root:Sent Message: System Time - 1678137666.064256, Logical Clock Time - 17, Queue Length - 0, Message - [machine 1, task 3] the time is 16
INFO:root:Sent Message: System Time - 1678137666.399466, Logical Clock Time - 18, Queue Length - 0, Message - [machine 1, task 2] the time is 17
INFO:root:Sent Message: System Time - 1678137666.738626, Logical Clock Time - 19, Queue Length - 0, Message - [machine 1, task 3] the time is 18
INFO:root:Sent Message: System Time - 1678137667.079487, Logical Clock Time - 20, Queue Length - 0, Message - [machine 1, task 3] the time is 19
INFO:root:Sent Message: System Time - 1678137667.4191182, Logical Clock Time - 21, Queue Length - 0, Message - [machine 1, task 3] the time is 20
INFO:root:Sent Message: System Time - 1678137667.758466, Logical Clock Time - 22, Queue Length - 0, Message - [machine 1, task 3] the time is 21
