timestamp,logical_clock_time,queue_length,event_type
1678137856.768008,1,0,Send
1678137857.1090639,2,0,Send
1678137857.447219,3,0,Send
1678137857.785892,4,0,Internal
1678137858.122059,8,0,Received
1678137858.4613602,10,0,Received
1678137858.801742,11,0,Received
1678137859.136157,13,0,Received
1678137859.471779,16,0,Received
1678137859.810886,17,0,Send
1678137860.1512241,18,0,Send
1678137860.492627,19,0,Send
1678137860.832408,20,0,Send
1678137861.172972,21,0,Send
1678137861.509803,27,1,Received
1678137861.850809,28,0,Received
1678137862.191953,32,0,Received
1678137862.5322409,34,0,Received
1678137862.874034,35,0,Send
1678137863.215212,38,0,Received
1678137863.5558631,39,1,Received
1678137863.896383,40,0,Received
1678137864.235316,44,0,Received
1678137864.573198,45,0,Send
1678137864.914648,48,0,Received
1678137865.2510478,49,0,Send
1678137865.5918221,52,0,Received
1678137865.931329,53,0,Internal
1678137866.267702,56,0,Received
1678137866.6088388,57,0,Received
1678137866.944614,59,0,Received
1678137867.283958,61,1,Received
1678137867.624444,62,1,Received
1678137867.9659252,63,1,Received
1678137868.3061252,65,1,Received
1678137868.643138,67,1,Received
1678137868.9805288,68,0,Received
1678137869.321444,72,1,Received
1678137869.670443,73,1,Received
1678137870.009727,75,2,Received
1678137870.348583,76,1,Received
1678137870.684326,77,1,Received
1678137871.022903,81,0,Received
1678137871.363795,82,0,Send
1678137871.703317,83,0,Internal
1678137872.044194,89,0,Received
1678137872.3848372,90,0,Send
1678137872.7262971,93,0,Received
1678137873.061506,95,0,Received
1678137873.396579,96,1,Received
1678137873.7342699,97,1,Received
1678137874.070188,99,2,Received
1678137874.406611,100,2,Received
1678137874.74562,101,2,Received
1678137875.086998,103,2,Received
1678137875.423881,105,1,Received
1678137875.759163,107,0,Received
1678137876.098305,113,0,Received
1678137876.4381871,114,0,Send
1678137876.776402,115,0,Internal
1678137877.112641,118,1,Received
1678137877.4527261,119,0,Received
1678137877.793227,120,0,Send
1678137878.133955,121,0,Internal
1678137878.4735749,127,0,Received
1678137878.8117409,128,0,Received
1678137879.152253,130,0,Received
1678137879.494234,131,0,Send
1678137879.834187,133,0,Received
1678137880.173583,135,0,Received
1678137880.509158,136,0,Internal
1678137880.843652,137,0,Send
1678137881.183265,138,0,Internal
1678137881.522182,144,0,Received
1678137881.861217,146,0,Received
1678137882.199939,147,0,Received
1678137882.537857,150,0,Received
1678137882.877496,151,0,Internal
1678137883.213591,152,0,Send
1678137883.55099,156,0,Received
1678137883.888662,157,0,Received
1678137884.236019,160,0,Received
1678137884.586089,161,0,Internal
1678137884.926369,162,0,Internal
1678137885.2662249,165,1,Received
1678137885.603334,166,1,Received
1678137885.943041,167,1,Received
1678137886.278625,170,0,Received
1678137886.61763,174,0,Received
1678137886.958998,175,0,Send
1678137887.2981272,176,0,Send
1678137887.6358268,180,0,Received
1678137887.973988,182,0,Received
1678137888.3145049,183,0,Received
1678137888.6549351,185,0,Received
1678137888.991231,186,0,Send
1678137889.327581,187,0,Internal
1678137889.667976,191,0,Received
1678137890.008255,192,0,Internal
1678137890.3448808,195,0,Received
1678137890.6853561,196,0,Send
1678137891.0262232,199,0,Received
1678137891.362622,200,1,Received
1678137891.702433,201,0,Received
1678137892.0439072,204,0,Received
1678137892.381888,205,0,Send
1678137892.7221498,206,0,Send
1678137893.062263,207,0,Send
1678137893.401793,208,0,Internal
1678137893.743327,209,0,Send
1678137894.0838,210,0,Send
1678137894.4217758,211,0,Send
1678137894.763168,212,0,Send
1678137895.102245,213,0,Send
1678137895.442972,225,0,Received
1678137895.7794318,227,0,Received
1678137896.1190479,228,0,Received
1678137896.458445,230,1,Received
1678137896.7953432,231,0,Received
1678137897.1352792,232,0,Send
1678137897.476213,237,0,Received
1678137897.813704,238,0,Send
1678137898.15327,241,0,Received
1678137898.494068,243,0,Received
1678137898.834656,245,0,Received
1678137899.175392,246,0,Send
1678137899.5125701,247,0,Internal
1678137899.850888,250,1,Received
1678137900.1921191,251,1,Received
1678137900.53141,252,1,Received
1678137900.868503,255,2,Received
1678137901.208678,256,2,Received
1678137901.5448608,257,2,Received
1678137901.885859,259,3,Received
1678137902.222322,260,3,Received
1678137902.558628,262,2,Received
1678137902.894751,263,1,Received
1678137903.235187,265,0,Received
1678137903.575886,266,0,Internal
1678137903.914954,274,0,Received
1678137904.254194,275,0,Send
1678137904.592512,276,0,Internal
1678137904.9330702,279,1,Received
1678137905.272605,280,0,Received
1678137905.610467,281,0,Send
1678137905.95034,282,0,Send
1678137906.2909281,283,0,Send
1678137906.6279628,290,0,Received
1678137906.967532,292,0,Received
1678137907.30646,293,0,Internal
1678137907.643442,294,0,Internal
1678137907.983673,297,0,Received
1678137908.320127,298,0,Send
1678137908.659677,302,0,Received
1678137908.9993038,303,0,Internal
1678137909.339645,304,0,Internal
1678137909.6806002,305,0,Internal
1678137910.019501,309,0,Received
1678137910.359596,311,0,Received
1678137910.698563,313,0,Received
1678137911.039785,316,0,Received
1678137911.381387,317,1,Received
1678137911.7205482,318,1,Received
1678137912.059728,319,1,Received
1678137912.397318,322,0,Received
1678137912.734499,326,0,Received
1678137913.07465,328,0,Received
1678137913.410298,329,1,Received
1678137913.747411,330,1,Received
1678137914.086781,331,1,Received
1678137914.425805,334,2,Received
1678137914.764663,335,2,Received
1678137915.10125,336,2,Received
1678137915.4406972,337,1,Received
1678137915.779628,339,1,Received
1678137916.119894,343,1,Received
1678137916.459434,344,0,Received
