INFO:root:Clock Speed: 1
INFO:root:Sent Message: System Time - 1678080670.744679, Logical Clock Time - 1, Queue Length - 0, Message - [machine 1, task 3] the time is 0
INFO:root:Received Message: System Time - 1678080671.752568, Logical Clock Time - 2, Queue Length - 2, Message - [machine 0, task 1] the time is 1
INFO:root:Received Message: System Time - 1678080672.7541828, Logical Clock Time - 3, Queue Length - 2, Message - [machine 0, task 1] the time is 3
INFO:root:Received Message: System Time - 1678080673.757321, Logical Clock Time - 4, Queue Length - 2, Message - [machine 0, task 3] the time is 4
INFO:root:Received Message: System Time - 1678080674.758325, Logical Clock Time - 5, Queue Length - 4, Message - [machine 0, task 3] the time is 8
INFO:root:Received Message: System Time - 1678080675.7632031, Logical Clock Time - 6, Queue Length - 6, Message - [machine 0, task 3] the time is 12
INFO:root:Received Message: System Time - 1678080676.766645, Logical Clock Time - 7, Queue Length - 7, Message - [machine 0, task 3] the time is 15
INFO:root:Received Message: System Time - 1678080677.771223, Logical Clock Time - 8, Queue Length - 8, Message - [machine 0, task 3] the time is 16
INFO:root:Received Message: System Time - 1678080678.776464, Logical Clock Time - 9, Queue Length - 8, Message - [machine 0, task 3] the time is 18
INFO:root:Received Message: System Time - 1678080679.781804, Logical Clock Time - 10, Queue Length - 10, Message - [machine 0, task 1] the time is 21
INFO:root:Received Message: System Time - 1678080680.784666, Logical Clock Time - 11, Queue Length - 12, Message - [machine 0, task 3] the time is 22
INFO:root:Received Message: System Time - 1678080681.7897449, Logical Clock Time - 12, Queue Length - 12, Message - [machine 0, task 3] the time is 24
INFO:root:Received Message: System Time - 1678080682.792238, Logical Clock Time - 13, Queue Length - 12, Message - [machine 0, task 1] the time is 26
INFO:root:Received Message: System Time - 1678080683.797668, Logical Clock Time - 14, Queue Length - 13, Message - [machine 0, task 1] the time is 28
INFO:root:Received Message: System Time - 1678080684.80036, Logical Clock Time - 15, Queue Length - 12, Message - [machine 0, task 1] the time is 32
INFO:root:Received Message: System Time - 1678080685.804074, Logical Clock Time - 16, Queue Length - 14, Message - [machine 0, task 3] the time is 34
INFO:root:Received Message: System Time - 1678080686.81025, Logical Clock Time - 17, Queue Length - 15, Message - [machine 0, task 3] the time is 39
INFO:root:Received Message: System Time - 1678080687.812505, Logical Clock Time - 18, Queue Length - 15, Message - [machine 0, task 1] the time is 41
INFO:root:Received Message: System Time - 1678080688.8170261, Logical Clock Time - 19, Queue Length - 15, Message - [machine 0, task 1] the time is 42
INFO:root:Received Message: System Time - 1678080689.820243, Logical Clock Time - 20, Queue Length - 15, Message - [machine 0, task 1] the time is 43
INFO:root:Received Message: System Time - 1678080690.824874, Logical Clock Time - 21, Queue Length - 15, Message - [machine 0, task 3] the time is 45
INFO:root:Received Message: System Time - 1678080691.8305979, Logical Clock Time - 22, Queue Length - 17, Message - [machine 0, task 3] the time is 46
INFO:root:Received Message: System Time - 1678080692.8359838, Logical Clock Time - 23, Queue Length - 18, Message - [machine 0, task 1] the time is 48
INFO:root:Received Message: System Time - 1678080693.8425112, Logical Clock Time - 24, Queue Length - 18, Message - [machine 0, task 3] the time is 50
INFO:root:Received Message: System Time - 1678080694.84884, Logical Clock Time - 25, Queue Length - 18, Message - [machine 0, task 1] the time is 54
INFO:root:Received Message: System Time - 1678080695.851048, Logical Clock Time - 26, Queue Length - 19, Message - [machine 2, task 3] the time is 24
INFO:root:Received Message: System Time - 1678080696.85729, Logical Clock Time - 27, Queue Length - 19, Message - [machine 0, task 1] the time is 61
INFO:root:Received Message: System Time - 1678080697.8635268, Logical Clock Time - 28, Queue Length - 19, Message - [machine 0, task 3] the time is 69
INFO:root:Received Message: System Time - 1678080698.869795, Logical Clock Time - 29, Queue Length - 21, Message - [machine 0, task 3] the time is 72
