INFO:root:Clock Speed: 1
INFO:root:Internal Event: System Time - 1678080127.499317, Logical Clock Time - 1
INFO:root:Received Message: System Time - 1678080128.50411, Logical Clock Time - 2, Queue Length - 0, Message - [machine 0, task 2] the time is 3
INFO:root:Received Message: System Time - 1678080129.509471, Logical Clock Time - 3, Queue Length - 2, Message - [machine 0, task 3] the time is 7
INFO:root:Received Message: System Time - 1678080130.515269, Logical Clock Time - 4, Queue Length - 1, Message - [machine 0, task 2] the time is 9
INFO:root:Received Message: System Time - 1678080131.5195909, Logical Clock Time - 5, Queue Length - 0, Message - [machine 0, task 3] the time is 10
INFO:root:Received Message: System Time - 1678080132.5210838, Logical Clock Time - 6, Queue Length - 1, Message - [machine 0, task 2] the time is 27
INFO:root:Received Message: System Time - 1678080133.523726, Logical Clock Time - 7, Queue Length - 3, Message - [machine 0, task 3] the time is 28
INFO:root:Received Message: System Time - 1678080134.5297658, Logical Clock Time - 8, Queue Length - 5, Message - [machine 0, task 2] the time is 30
INFO:root:Received Message: System Time - 1678080135.531283, Logical Clock Time - 9, Queue Length - 6, Message - [machine 0, task 3] the time is 32
INFO:root:Received Message: System Time - 1678080136.535807, Logical Clock Time - 10, Queue Length - 7, Message - [machine 0, task 2] the time is 33
INFO:root:Received Message: System Time - 1678080137.541196, Logical Clock Time - 11, Queue Length - 7, Message - [machine 0, task 3] the time is 36
INFO:root:Received Message: System Time - 1678080138.54747, Logical Clock Time - 12, Queue Length - 7, Message - [machine 0, task 3] the time is 39
INFO:root:Received Message: System Time - 1678080139.550827, Logical Clock Time - 13, Queue Length - 8, Message - [machine 0, task 2] the time is 40
INFO:root:Received Message: System Time - 1678080140.554806, Logical Clock Time - 14, Queue Length - 9, Message - [machine 0, task 2] the time is 43
INFO:root:Received Message: System Time - 1678080141.5576088, Logical Clock Time - 15, Queue Length - 10, Message - [machine 0, task 2] the time is 45
INFO:root:Received Message: System Time - 1678080142.562647, Logical Clock Time - 16, Queue Length - 10, Message - [machine 0, task 3] the time is 51
INFO:root:Received Message: System Time - 1678080143.564827, Logical Clock Time - 17, Queue Length - 9, Message - [machine 0, task 3] the time is 52
INFO:root:Received Message: System Time - 1678080144.568426, Logical Clock Time - 18, Queue Length - 9, Message - [machine 0, task 3] the time is 56
INFO:root:Received Message: System Time - 1678080145.574473, Logical Clock Time - 19, Queue Length - 9, Message - [machine 0, task 2] the time is 59
INFO:root:Received Message: System Time - 1678080146.58077, Logical Clock Time - 20, Queue Length - 9, Message - [machine 0, task 3] the time is 67
INFO:root:Received Message: System Time - 1678080147.581812, Logical Clock Time - 21, Queue Length - 9, Message - [machine 0, task 3] the time is 70
INFO:root:Received Message: System Time - 1678080148.584149, Logical Clock Time - 22, Queue Length - 8, Message - [machine 0, task 2] the time is 71
INFO:root:Received Message: System Time - 1678080149.588758, Logical Clock Time - 23, Queue Length - 8, Message - [machine 0, task 2] the time is 75
INFO:root:Received Message: System Time - 1678080150.594869, Logical Clock Time - 24, Queue Length - 10, Message - [machine 0, task 3] the time is 79
INFO:root:Received Message: System Time - 1678080151.599513, Logical Clock Time - 25, Queue Length - 9, Message - [machine 0, task 3] the time is 82
INFO:root:Received Message: System Time - 1678080152.604506, Logical Clock Time - 26, Queue Length - 10, Message - [machine 0, task 2] the time is 85
INFO:root:Received Message: System Time - 1678080153.610185, Logical Clock Time - 27, Queue Length - 12, Message - [machine 0, task 3] the time is 94
INFO:root:Received Message: System Time - 1678080154.6112268, Logical Clock Time - 28, Queue Length - 12, Message - [machine 0, task 3] the time is 100
INFO:root:Received Message: System Time - 1678080155.612275, Logical Clock Time - 29, Queue Length - 11, Message - [machine 0, task 3] the time is 110
INFO:root:Received Message: System Time - 1678080156.617171, Logical Clock Time - 30, Queue Length - 10, Message - [machine 0, task 2] the time is 116
INFO:root:Received Message: System Time - 1678080157.6218922, Logical Clock Time - 31, Queue Length - 12, Message - [machine 0, task 2] the time is 124
INFO:root:Received Message: System Time - 1678080158.627923, Logical Clock Time - 32, Queue Length - 12, Message - [machine 0, task 3] the time is 129
INFO:root:Received Message: System Time - 1678080159.632579, Logical Clock Time - 33, Queue Length - 13, Message - [machine 0, task 2] the time is 132
INFO:root:Received Message: System Time - 1678080160.637941, Logical Clock Time - 34, Queue Length - 12, Message - [machine 0, task 2] the time is 134
INFO:root:Received Message: System Time - 1678080161.639884, Logical Clock Time - 35, Queue Length - 13, Message - [machine 0, task 2] the time is 145
INFO:root:Received Message: System Time - 1678080162.6448588, Logical Clock Time - 36, Queue Length - 14, Message - [machine 0, task 2] the time is 146
INFO:root:Received Message: System Time - 1678080163.6482098, Logical Clock Time - 37, Queue Length - 13, Message - [machine 0, task 2] the time is 147
INFO:root:Received Message: System Time - 1678080164.654659, Logical Clock Time - 38, Queue Length - 12, Message - [machine 0, task 3] the time is 148
INFO:root:Received Message: System Time - 1678080165.658814, Logical Clock Time - 39, Queue Length - 12, Message - [machine 0, task 3] the time is 152
INFO:root:Received Message: System Time - 1678080166.661664, Logical Clock Time - 40, Queue Length - 12, Message - [machine 0, task 3] the time is 155
INFO:root:Received Message: System Time - 1678080167.664803, Logical Clock Time - 41, Queue Length - 12, Message - [machine 0, task 3] the time is 172
INFO:root:Received Message: System Time - 1678080168.6692321, Logical Clock Time - 42, Queue Length - 12, Message - [machine 0, task 2] the time is 173
INFO:root:Received Message: System Time - 1678080169.6748211, Logical Clock Time - 43, Queue Length - 12, Message - [machine 0, task 3] the time is 174
INFO:root:Received Message: System Time - 1678080170.680203, Logical Clock Time - 44, Queue Length - 12, Message - [machine 0, task 2] the time is 181
INFO:root:Received Message: System Time - 1678080171.682583, Logical Clock Time - 45, Queue Length - 15, Message - [machine 0, task 3] the time is 182
INFO:root:Received Message: System Time - 1678080172.688216, Logical Clock Time - 46, Queue Length - 15, Message - [machine 0, task 2] the time is 185
INFO:root:Received Message: System Time - 1678080173.693265, Logical Clock Time - 47, Queue Length - 16, Message - [machine 0, task 3] the time is 195
INFO:root:Received Message: System Time - 1678080174.698775, Logical Clock Time - 48, Queue Length - 17, Message - [machine 0, task 3] the time is 199
INFO:root:Received Message: System Time - 1678080175.704227, Logical Clock Time - 49, Queue Length - 18, Message - [machine 0, task 2] the time is 200
INFO:root:Received Message: System Time - 1678080176.7092469, Logical Clock Time - 50, Queue Length - 19, Message - [machine 0, task 2] the time is 203
INFO:root:Received Message: System Time - 1678080177.71344, Logical Clock Time - 51, Queue Length - 19, Message - [machine 0, task 3] the time is 217
INFO:root:Received Message: System Time - 1678080178.718904, Logical Clock Time - 52, Queue Length - 18, Message - [machine 0, task 3] the time is 224
INFO:root:Received Message: System Time - 1678080179.7213628, Logical Clock Time - 53, Queue Length - 20, Message - [machine 0, task 3] the time is 234
INFO:root:Received Message: System Time - 1678080180.723742, Logical Clock Time - 54, Queue Length - 19, Message - [machine 0, task 2] the time is 240
INFO:root:Received Message: System Time - 1678080181.730935, Logical Clock Time - 55, Queue Length - 18, Message - [machine 0, task 2] the time is 243
INFO:root:Received Message: System Time - 1678080182.733644, Logical Clock Time - 56, Queue Length - 19, Message - [machine 0, task 2] the time is 251
INFO:root:Received Message: System Time - 1678080183.7369962, Logical Clock Time - 57, Queue Length - 19, Message - [machine 0, task 2] the time is 253
INFO:root:Received Message: System Time - 1678080184.7431319, Logical Clock Time - 58, Queue Length - 19, Message - [machine 0, task 3] the time is 254
INFO:root:Received Message: System Time - 1678080185.746499, Logical Clock Time - 59, Queue Length - 18, Message - [machine 0, task 3] the time is 255
INFO:root:Received Message: System Time - 1678080186.752707, Logical Clock Time - 60, Queue Length - 18, Message - [machine 0, task 3] the time is 256
