INFO:root:Clock Speed: 1
INFO:root:Sent Message: System Time - 1678079976.460599, Logical Clock Time - 1, Queue Length - 0, Message - [machine 2, task 2] the time is 0
INFO:root:Received Message: System Time - 1678079977.4667032, Logical Clock Time - 2, Queue Length - 3, Message - [machine 0, task 2] the time is 1
INFO:root:Received Message: System Time - 1678079978.472634, Logical Clock Time - 3, Queue Length - 5, Message - [machine 0, task 2] the time is 3
INFO:root:Received Message: System Time - 1678079979.4792309, Logical Clock Time - 4, Queue Length - 7, Message - [machine 1, task 1] the time is 3
INFO:root:Received Message: System Time - 1678079980.485436, Logical Clock Time - 5, Queue Length - 7, Message - [machine 1, task 3] the time is 4
INFO:root:Received Message: System Time - 1678079981.4871879, Logical Clock Time - 6, Queue Length - 8, Message - [machine 1, task 3] the time is 6
INFO:root:Received Message: System Time - 1678079982.489609, Logical Clock Time - 7, Queue Length - 7, Message - [machine 1, task 3] the time is 7
INFO:root:Received Message: System Time - 1678079983.495154, Logical Clock Time - 8, Queue Length - 8, Message - [machine 0, task 3] the time is 9
INFO:root:Received Message: System Time - 1678079984.5013618, Logical Clock Time - 9, Queue Length - 8, Message - [machine 0, task 2] the time is 10
INFO:root:Received Message: System Time - 1678079985.505445, Logical Clock Time - 10, Queue Length - 10, Message - [machine 0, task 3] the time is 11
INFO:root:Received Message: System Time - 1678079986.511244, Logical Clock Time - 11, Queue Length - 11, Message - [machine 1, task 1] the time is 13
INFO:root:Received Message: System Time - 1678079987.5122502, Logical Clock Time - 12, Queue Length - 12, Message - [machine 1, task 1] the time is 19
INFO:root:Received Message: System Time - 1678079988.517718, Logical Clock Time - 13, Queue Length - 13, Message - [machine 0, task 3] the time is 22
INFO:root:Received Message: System Time - 1678079989.519114, Logical Clock Time - 14, Queue Length - 13, Message - [machine 0, task 3] the time is 23
INFO:root:Received Message: System Time - 1678079990.522159, Logical Clock Time - 15, Queue Length - 13, Message - [machine 0, task 2] the time is 31
INFO:root:Received Message: System Time - 1678079991.523702, Logical Clock Time - 16, Queue Length - 14, Message - [machine 0, task 2] the time is 33
INFO:root:Received Message: System Time - 1678079992.530328, Logical Clock Time - 17, Queue Length - 15, Message - [machine 1, task 3] the time is 37
INFO:root:Received Message: System Time - 1678079993.536797, Logical Clock Time - 18, Queue Length - 18, Message - [machine 0, task 2] the time is 40
INFO:root:Received Message: System Time - 1678079994.5390122, Logical Clock Time - 19, Queue Length - 19, Message - [machine 1, task 1] the time is 42
INFO:root:Received Message: System Time - 1678079995.54302, Logical Clock Time - 20, Queue Length - 21, Message - [machine 0, task 3] the time is 42
INFO:root:Received Message: System Time - 1678079996.544107, Logical Clock Time - 21, Queue Length - 20, Message - [machine 1, task 3] the time is 45
INFO:root:Received Message: System Time - 1678079997.549896, Logical Clock Time - 22, Queue Length - 22, Message - [machine 1, task 1] the time is 47
INFO:root:Received Message: System Time - 1678079998.554467, Logical Clock Time - 23, Queue Length - 23, Message - [machine 1, task 1] the time is 51
INFO:root:Received Message: System Time - 1678079999.556858, Logical Clock Time - 24, Queue Length - 22, Message - [machine 1, task 3] the time is 52
INFO:root:Received Message: System Time - 1678080000.563298, Logical Clock Time - 25, Queue Length - 21, Message - [machine 0, task 3] the time is 56
INFO:root:Received Message: System Time - 1678080001.569675, Logical Clock Time - 26, Queue Length - 21, Message - [machine 1, task 1] the time is 58
INFO:root:Received Message: System Time - 1678080002.575084, Logical Clock Time - 27, Queue Length - 22, Message - [machine 1, task 3] the time is 61
INFO:root:Received Message: System Time - 1678080003.578489, Logical Clock Time - 28, Queue Length - 23, Message - [machine 0, task 3] the time is 65
INFO:root:Received Message: System Time - 1678080004.58395, Logical Clock Time - 29, Queue Length - 23, Message - [machine 0, task 2] the time is 69
INFO:root:Received Message: System Time - 1678080005.5894132, Logical Clock Time - 30, Queue Length - 25, Message - [machine 1, task 3] the time is 70
INFO:root:Received Message: System Time - 1678080006.5958972, Logical Clock Time - 31, Queue Length - 24, Message - [machine 1, task 3] the time is 77
INFO:root:Received Message: System Time - 1678080007.6015658, Logical Clock Time - 32, Queue Length - 23, Message - [machine 1, task 3] the time is 78
INFO:root:Received Message: System Time - 1678080008.6071098, Logical Clock Time - 33, Queue Length - 23, Message - [machine 1, task 1] the time is 79
INFO:root:Received Message: System Time - 1678080009.613209, Logical Clock Time - 34, Queue Length - 24, Message - [machine 0, task 3] the time is 79
INFO:root:Received Message: System Time - 1678080010.61934, Logical Clock Time - 35, Queue Length - 24, Message - [machine 0, task 3] the time is 81
INFO:root:Received Message: System Time - 1678080011.6248262, Logical Clock Time - 36, Queue Length - 24, Message - [machine 0, task 2] the time is 83
INFO:root:Received Message: System Time - 1678080012.6273558, Logical Clock Time - 37, Queue Length - 25, Message - [machine 0, task 3] the time is 87
INFO:root:Received Message: System Time - 1678080013.632724, Logical Clock Time - 38, Queue Length - 27, Message - [machine 0, task 2] the time is 88
INFO:root:Received Message: System Time - 1678080014.638369, Logical Clock Time - 39, Queue Length - 28, Message - [machine 1, task 3] the time is 90
INFO:root:Received Message: System Time - 1678080015.6417658, Logical Clock Time - 40, Queue Length - 29, Message - [machine 1, task 1] the time is 91
INFO:root:Received Message: System Time - 1678080016.6444318, Logical Clock Time - 41, Queue Length - 29, Message - [machine 1, task 3] the time is 92
INFO:root:Received Message: System Time - 1678080017.647588, Logical Clock Time - 42, Queue Length - 30, Message - [machine 1, task 1] the time is 101
INFO:root:Received Message: System Time - 1678080018.6538172, Logical Clock Time - 43, Queue Length - 31, Message - [machine 1, task 1] the time is 102
INFO:root:Received Message: System Time - 1678080019.6560209, Logical Clock Time - 44, Queue Length - 31, Message - [machine 0, task 2] the time is 102
INFO:root:Received Message: System Time - 1678080020.662313, Logical Clock Time - 45, Queue Length - 31, Message - [machine 1, task 1] the time is 104
INFO:root:Received Message: System Time - 1678080021.6681101, Logical Clock Time - 46, Queue Length - 32, Message - [machine 1, task 1] the time is 108
INFO:root:Received Message: System Time - 1678080022.6740491, Logical Clock Time - 47, Queue Length - 34, Message - [machine 0, task 2] the time is 122
INFO:root:Received Message: System Time - 1678080023.679461, Logical Clock Time - 48, Queue Length - 35, Message - [machine 1, task 1] the time is 123
INFO:root:Received Message: System Time - 1678080024.6854742, Logical Clock Time - 49, Queue Length - 34, Message - [machine 1, task 1] the time is 127
INFO:root:Received Message: System Time - 1678080025.6921291, Logical Clock Time - 50, Queue Length - 36, Message - [machine 1, task 1] the time is 130
INFO:root:Received Message: System Time - 1678080026.697098, Logical Clock Time - 51, Queue Length - 37, Message - [machine 0, task 3] the time is 131
INFO:root:Received Message: System Time - 1678080027.703289, Logical Clock Time - 52, Queue Length - 37, Message - [machine 0, task 3] the time is 135
INFO:root:Received Message: System Time - 1678080028.709642, Logical Clock Time - 53, Queue Length - 38, Message - [machine 1, task 1] the time is 138
INFO:root:Received Message: System Time - 1678080029.711633, Logical Clock Time - 54, Queue Length - 38, Message - [machine 1, task 1] the time is 141
INFO:root:Received Message: System Time - 1678080030.7177799, Logical Clock Time - 55, Queue Length - 38, Message - [machine 1, task 3] the time is 142
INFO:root:Received Message: System Time - 1678080031.7193248, Logical Clock Time - 56, Queue Length - 40, Message - [machine 0, task 3] the time is 157
INFO:root:Received Message: System Time - 1678080032.724745, Logical Clock Time - 57, Queue Length - 41, Message - [machine 1, task 3] the time is 160
