INFO:root:Clock Speed: 1
INFO:root:Received Message: System Time - 1678133378.3217402, Logical Clock Time - 1, Queue Length - 0
INFO:root:Received Message: System Time - 1678133379.326837, Logical Clock Time - 2, Queue Length - 1
INFO:root:Received Message: System Time - 1678133380.3338938, Logical Clock Time - 3, Queue Length - 1
INFO:root:Received Message: System Time - 1678133381.339474, Logical Clock Time - 10, Queue Length - 0
INFO:root:Sent Message: System Time - 1678133382.346048, Logical Clock Time - 11, Queue Length - 0, Message - [machine 2, task 3] the time is 10
INFO:root:Internal Event: System Time - 1678133383.351798, Logical Clock Time - 12, Queue Length - 0
INFO:root:Received Message: System Time - 1678133384.3563159, Logical Clock Time - 24, Queue Length - 0
INFO:root:Received Message: System Time - 1678133385.361266, Logical Clock Time - 33, Queue Length - 0
INFO:root:Received Message: System Time - 1678133386.364518, Logical Clock Time - 35, Queue Length - 1
INFO:root:Received Message: System Time - 1678133387.3669481, Logical Clock Time - 39, Queue Length - 0
INFO:root:Received Message: System Time - 1678133388.372027, Logical Clock Time - 48, Queue Length - 0
INFO:root:Received Message: System Time - 1678133389.377578, Logical Clock Time - 50, Queue Length - 0
INFO:root:Internal Event: System Time - 1678133390.3839302, Logical Clock Time - 51, Queue Length - 0
INFO:root:Received Message: System Time - 1678133391.389864, Logical Clock Time - 60, Queue Length - 2
INFO:root:Received Message: System Time - 1678133392.393357, Logical Clock Time - 61, Queue Length - 2
INFO:root:Received Message: System Time - 1678133393.3982751, Logical Clock Time - 62, Queue Length - 2
INFO:root:Received Message: System Time - 1678133394.4034848, Logical Clock Time - 69, Queue Length - 1
INFO:root:Received Message: System Time - 1678133395.411137, Logical Clock Time - 70, Queue Length - 1
INFO:root:Received Message: System Time - 1678133396.417098, Logical Clock Time - 83, Queue Length - 2
INFO:root:Received Message: System Time - 1678133397.420481, Logical Clock Time - 88, Queue Length - 1
INFO:root:Received Message: System Time - 1678133398.424221, Logical Clock Time - 89, Queue Length - 1
INFO:root:Received Message: System Time - 1678133399.4279711, Logical Clock Time - 92, Queue Length - 3
INFO:root:Received Message: System Time - 1678133400.43598, Logical Clock Time - 99, Queue Length - 3
INFO:root:Received Message: System Time - 1678133401.443489, Logical Clock Time - 101, Queue Length - 2
INFO:root:Received Message: System Time - 1678133402.450401, Logical Clock Time - 102, Queue Length - 4
INFO:root:Received Message: System Time - 1678133403.4583948, Logical Clock Time - 105, Queue Length - 4
INFO:root:Received Message: System Time - 1678133404.464036, Logical Clock Time - 115, Queue Length - 6
INFO:root:Received Message: System Time - 1678133405.471204, Logical Clock Time - 116, Queue Length - 7
INFO:root:Received Message: System Time - 1678133406.478646, Logical Clock Time - 117, Queue Length - 7
INFO:root:Received Message: System Time - 1678133407.4855502, Logical Clock Time - 120, Queue Length - 6
INFO:root:Received Message: System Time - 1678133408.487355, Logical Clock Time - 124, Queue Length - 7
INFO:root:Received Message: System Time - 1678133409.493477, Logical Clock Time - 125, Queue Length - 8
INFO:root:Received Message: System Time - 1678133410.5005472, Logical Clock Time - 128, Queue Length - 8
INFO:root:Received Message: System Time - 1678133411.508663, Logical Clock Time - 133, Queue Length - 8
INFO:root:Received Message: System Time - 1678133412.5151732, Logical Clock Time - 134, Queue Length - 8
INFO:root:Received Message: System Time - 1678133413.520438, Logical Clock Time - 135, Queue Length - 8
INFO:root:Received Message: System Time - 1678133414.526356, Logical Clock Time - 144, Queue Length - 9
INFO:root:Received Message: System Time - 1678133415.531405, Logical Clock Time - 145, Queue Length - 9
INFO:root:Received Message: System Time - 1678133416.5361931, Logical Clock Time - 150, Queue Length - 11
INFO:root:Received Message: System Time - 1678133417.542818, Logical Clock Time - 152, Queue Length - 10
INFO:root:Received Message: System Time - 1678133418.548747, Logical Clock Time - 155, Queue Length - 10
INFO:root:Received Message: System Time - 1678133419.5535822, Logical Clock Time - 162, Queue Length - 10
INFO:root:Received Message: System Time - 1678133420.560874, Logical Clock Time - 165, Queue Length - 11
INFO:root:Received Message: System Time - 1678133421.567594, Logical Clock Time - 171, Queue Length - 12
INFO:root:Received Message: System Time - 1678133422.5749881, Logical Clock Time - 175, Queue Length - 12
INFO:root:Received Message: System Time - 1678133423.578036, Logical Clock Time - 177, Queue Length - 12
INFO:root:Received Message: System Time - 1678133424.5859342, Logical Clock Time - 181, Queue Length - 12
INFO:root:Received Message: System Time - 1678133425.593863, Logical Clock Time - 182, Queue Length - 12
INFO:root:Received Message: System Time - 1678133426.6017091, Logical Clock Time - 185, Queue Length - 12
INFO:root:Received Message: System Time - 1678133427.60966, Logical Clock Time - 186, Queue Length - 12
INFO:root:Received Message: System Time - 1678133428.616489, Logical Clock Time - 191, Queue Length - 12
INFO:root:Received Message: System Time - 1678133429.620588, Logical Clock Time - 199, Queue Length - 13
INFO:root:Received Message: System Time - 1678133430.626857, Logical Clock Time - 201, Queue Length - 14
INFO:root:Received Message: System Time - 1678133431.634172, Logical Clock Time - 202, Queue Length - 15
INFO:root:Received Message: System Time - 1678133432.641928, Logical Clock Time - 208, Queue Length - 14
INFO:root:Received Message: System Time - 1678133433.649596, Logical Clock Time - 210, Queue Length - 13
INFO:root:Received Message: System Time - 1678133434.652396, Logical Clock Time - 213, Queue Length - 13
INFO:root:Received Message: System Time - 1678133435.657059, Logical Clock Time - 220, Queue Length - 12
INFO:root:Received Message: System Time - 1678133436.6606998, Logical Clock Time - 223, Queue Length - 11
INFO:root:Received Message: System Time - 1678133437.668512, Logical Clock Time - 228, Queue Length - 10
