timestamp,logical_clock_time,queue_length,event_type
1678133989.1532512,1,0,Internal
1678133989.6586409,2,0,Internal
1678133990.1609972,3,2,Received
1678133990.66507,4,1,Received
1678133991.1678112,5,1,Received
1678133991.674212,12,0,Received
1678133992.1824052,13,0,Internal
1678133992.688246,21,0,Received
1678133993.19387,22,0,Internal
1678133993.696673,23,1,Received
1678133994.2024581,27,1,Received
1678133994.7101061,28,0,Received
1678133995.212616,32,3,Received
1678133995.716316,34,3,Received
1678133996.222908,35,4,Received
1678133996.7288089,36,4,Received
1678133997.236783,37,4,Received
1678133997.74141,41,3,Received
1678133998.245119,42,4,Received
1678133998.752523,43,5,Received
1678133999.2568698,44,4,Received
1678133999.764828,52,3,Received
1678134000.2710001,53,4,Received
1678134000.77904,55,4,Received
1678134001.2844758,56,5,Received
1678134001.788738,63,4,Received
1678134002.2967901,64,5,Received
1678134002.800761,67,5,Received
1678134003.3070998,69,5,Received
1678134003.81442,70,6,Received
1678134004.317421,73,7,Received
1678134004.8239172,77,6,Received
1678134005.3294442,79,6,Received
1678134005.836395,80,5,Received
1678134006.339068,85,5,Received
1678134006.845536,86,6,Received
1678134007.3512561,88,6,Received
1678134007.856886,89,6,Received
1678134008.3625972,93,6,Received
1678134008.8680372,100,5,Received
1678134009.37396,101,6,Received
1678134009.881119,102,6,Received
1678134010.38763,103,5,Received
1678134010.8893209,109,4,Received
1678134011.395395,110,5,Received
1678134011.902878,116,4,Received
1678134012.4107132,117,4,Received
1678134012.9180002,121,3,Received
1678134013.424939,128,3,Received
1678134013.931725,130,2,Received
1678134014.439446,132,2,Received
1678134014.946354,136,1,Received
1678134015.453689,144,1,Received
1678134015.961441,152,0,Received
1678134016.4659772,153,0,Internal
1678134016.970624,158,0,Received
1678134017.476404,163,1,Received
1678134017.983901,165,2,Received
1678134018.489934,166,2,Received
1678134018.995372,168,1,Received
1678134019.50259,169,1,Received
1678134020.005198,175,1,Received
1678134020.5124888,179,1,Received
1678134021.0203059,182,1,Received
1678134021.528345,184,2,Received
1678134022.035819,188,1,Received
1678134022.539535,189,0,Received
1678134023.046742,194,2,Received
1678134023.553445,196,1,Received
1678134024.060203,198,2,Received
1678134024.5645592,201,1,Received
1678134025.0726988,202,0,Received
1678134025.5800939,203,0,Send
1678134026.0873501,204,0,Internal
1678134026.590178,205,0,Internal
1678134027.096879,206,0,Send
1678134027.6047812,223,1,Received
1678134028.112278,224,0,Received
1678134028.6150122,229,0,Received
1678134029.122041,230,0,Send
1678134029.6282601,235,0,Received
1678134030.130952,237,0,Received
1678134030.634357,241,0,Received
1678134031.142259,242,0,Received
1678134031.645626,244,0,Received
1678134032.150843,249,1,Received
1678134032.6549509,250,0,Received
1678134033.16203,251,0,Received
1678134033.6658719,252,0,Internal
1678134034.173434,253,0,Internal
1678134034.676938,254,0,Internal
1678134035.184145,267,0,Received
1678134035.6876538,268,0,Send
1678134036.193166,270,0,Received
1678134036.6973388,277,0,Received
1678134037.199123,278,0,Internal
1678134037.7062058,279,0,Send
1678134038.212218,285,0,Received
1678134038.719611,287,1,Received
1678134039.2262049,288,1,Received
1678134039.73069,289,1,Received
1678134040.235892,293,0,Received
1678134040.742132,294,0,Internal
1678134041.244899,301,1,Received
1678134041.752596,303,0,Received
1678134042.259545,306,0,Received
1678134042.766748,307,0,Internal
1678134043.274645,313,1,Received
1678134043.778931,314,1,Received
1678134044.286746,316,1,Received
1678134044.792423,319,1,Received
1678134045.2984,324,0,Received
1678134045.805177,328,0,Received
1678134046.3118029,329,0,Internal
1678134046.8196878,333,1,Received
1678134047.323908,334,1,Received
1678134047.8303978,335,2,Received
1678134048.338475,339,1,Received
1678134048.8459609,341,0,Received
