INFO:root:Clock Speed: 2
INFO:root:Internal Event: System Time - 1678133989.1532512, Logical Clock Time - 1, Queue Length - 0
INFO:root:Internal Event: System Time - 1678133989.6586409, Logical Clock Time - 2, Queue Length - 0
INFO:root:Received Message: System Time - 1678133990.1609972, Logical Clock Time - 3, Queue Length - 2
INFO:root:Received Message: System Time - 1678133990.66507, Logical Clock Time - 4, Queue Length - 1
INFO:root:Received Message: System Time - 1678133991.1678112, Logical Clock Time - 5, Queue Length - 1
INFO:root:Received Message: System Time - 1678133991.674212, Logical Clock Time - 12, Queue Length - 0
INFO:root:Internal Event: System Time - 1678133992.1824052, Logical Clock Time - 13, Queue Length - 0
INFO:root:Received Message: System Time - 1678133992.688246, Logical Clock Time - 21, Queue Length - 0
INFO:root:Internal Event: System Time - 1678133993.19387, Logical Clock Time - 22, Queue Length - 0
INFO:root:Received Message: System Time - 1678133993.696673, Logical Clock Time - 23, Queue Length - 1
INFO:root:Received Message: System Time - 1678133994.2024581, Logical Clock Time - 27, Queue Length - 1
INFO:root:Received Message: System Time - 1678133994.7101061, Logical Clock Time - 28, Queue Length - 0
INFO:root:Received Message: System Time - 1678133995.212616, Logical Clock Time - 32, Queue Length - 3
INFO:root:Received Message: System Time - 1678133995.716316, Logical Clock Time - 34, Queue Length - 3
INFO:root:Received Message: System Time - 1678133996.222908, Logical Clock Time - 35, Queue Length - 4
INFO:root:Received Message: System Time - 1678133996.7288089, Logical Clock Time - 36, Queue Length - 4
INFO:root:Received Message: System Time - 1678133997.236783, Logical Clock Time - 37, Queue Length - 4
INFO:root:Received Message: System Time - 1678133997.74141, Logical Clock Time - 41, Queue Length - 3
INFO:root:Received Message: System Time - 1678133998.245119, Logical Clock Time - 42, Queue Length - 4
INFO:root:Received Message: System Time - 1678133998.752523, Logical Clock Time - 43, Queue Length - 5
INFO:root:Received Message: System Time - 1678133999.2568698, Logical Clock Time - 44, Queue Length - 4
INFO:root:Received Message: System Time - 1678133999.764828, Logical Clock Time - 52, Queue Length - 3
INFO:root:Received Message: System Time - 1678134000.2710001, Logical Clock Time - 53, Queue Length - 4
INFO:root:Received Message: System Time - 1678134000.77904, Logical Clock Time - 55, Queue Length - 4
INFO:root:Received Message: System Time - 1678134001.2844758, Logical Clock Time - 56, Queue Length - 5
INFO:root:Received Message: System Time - 1678134001.788738, Logical Clock Time - 63, Queue Length - 4
INFO:root:Received Message: System Time - 1678134002.2967901, Logical Clock Time - 64, Queue Length - 5
INFO:root:Received Message: System Time - 1678134002.800761, Logical Clock Time - 67, Queue Length - 5
INFO:root:Received Message: System Time - 1678134003.3070998, Logical Clock Time - 69, Queue Length - 5
INFO:root:Received Message: System Time - 1678134003.81442, Logical Clock Time - 70, Queue Length - 6
INFO:root:Received Message: System Time - 1678134004.317421, Logical Clock Time - 73, Queue Length - 7
INFO:root:Received Message: System Time - 1678134004.8239172, Logical Clock Time - 77, Queue Length - 6
INFO:root:Received Message: System Time - 1678134005.3294442, Logical Clock Time - 79, Queue Length - 6
INFO:root:Received Message: System Time - 1678134005.836395, Logical Clock Time - 80, Queue Length - 5
INFO:root:Received Message: System Time - 1678134006.339068, Logical Clock Time - 85, Queue Length - 5
INFO:root:Received Message: System Time - 1678134006.845536, Logical Clock Time - 86, Queue Length - 6
INFO:root:Received Message: System Time - 1678134007.3512561, Logical Clock Time - 88, Queue Length - 6
INFO:root:Received Message: System Time - 1678134007.856886, Logical Clock Time - 89, Queue Length - 6
INFO:root:Received Message: System Time - 1678134008.3625972, Logical Clock Time - 93, Queue Length - 6
INFO:root:Received Message: System Time - 1678134008.8680372, Logical Clock Time - 100, Queue Length - 5
INFO:root:Received Message: System Time - 1678134009.37396, Logical Clock Time - 101, Queue Length - 6
INFO:root:Received Message: System Time - 1678134009.881119, Logical Clock Time - 102, Queue Length - 6
INFO:root:Received Message: System Time - 1678134010.38763, Logical Clock Time - 103, Queue Length - 5
INFO:root:Received Message: System Time - 1678134010.8893209, Logical Clock Time - 109, Queue Length - 4
INFO:root:Received Message: System Time - 1678134011.395395, Logical Clock Time - 110, Queue Length - 5
INFO:root:Received Message: System Time - 1678134011.902878, Logical Clock Time - 116, Queue Length - 4
INFO:root:Received Message: System Time - 1678134012.4107132, Logical Clock Time - 117, Queue Length - 4
INFO:root:Received Message: System Time - 1678134012.9180002, Logical Clock Time - 121, Queue Length - 3
INFO:root:Received Message: System Time - 1678134013.424939, Logical Clock Time - 128, Queue Length - 3
INFO:root:Received Message: System Time - 1678134013.931725, Logical Clock Time - 130, Queue Length - 2
INFO:root:Received Message: System Time - 1678134014.439446, Logical Clock Time - 132, Queue Length - 2
INFO:root:Received Message: System Time - 1678134014.946354, Logical Clock Time - 136, Queue Length - 1
INFO:root:Received Message: System Time - 1678134015.453689, Logical Clock Time - 144, Queue Length - 1
INFO:root:Received Message: System Time - 1678134015.961441, Logical Clock Time - 152, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134016.4659772, Logical Clock Time - 153, Queue Length - 0
INFO:root:Received Message: System Time - 1678134016.970624, Logical Clock Time - 158, Queue Length - 0
INFO:root:Received Message: System Time - 1678134017.476404, Logical Clock Time - 163, Queue Length - 1
INFO:root:Received Message: System Time - 1678134017.983901, Logical Clock Time - 165, Queue Length - 2
INFO:root:Received Message: System Time - 1678134018.489934, Logical Clock Time - 166, Queue Length - 2
INFO:root:Received Message: System Time - 1678134018.995372, Logical Clock Time - 168, Queue Length - 1
INFO:root:Received Message: System Time - 1678134019.50259, Logical Clock Time - 169, Queue Length - 1
INFO:root:Received Message: System Time - 1678134020.005198, Logical Clock Time - 175, Queue Length - 1
INFO:root:Received Message: System Time - 1678134020.5124888, Logical Clock Time - 179, Queue Length - 1
INFO:root:Received Message: System Time - 1678134021.0203059, Logical Clock Time - 182, Queue Length - 1
INFO:root:Received Message: System Time - 1678134021.528345, Logical Clock Time - 184, Queue Length - 2
INFO:root:Received Message: System Time - 1678134022.035819, Logical Clock Time - 188, Queue Length - 1
INFO:root:Received Message: System Time - 1678134022.539535, Logical Clock Time - 189, Queue Length - 0
INFO:root:Received Message: System Time - 1678134023.046742, Logical Clock Time - 194, Queue Length - 2
INFO:root:Received Message: System Time - 1678134023.553445, Logical Clock Time - 196, Queue Length - 1
INFO:root:Received Message: System Time - 1678134024.060203, Logical Clock Time - 198, Queue Length - 2
INFO:root:Received Message: System Time - 1678134024.5645592, Logical Clock Time - 201, Queue Length - 1
INFO:root:Received Message: System Time - 1678134025.0726988, Logical Clock Time - 202, Queue Length - 0
INFO:root:Sent Message: System Time - 1678134025.5800939, Logical Clock Time - 203, Queue Length - 0, Message - [machine 0, task 2] the time is 202
INFO:root:Internal Event: System Time - 1678134026.0873501, Logical Clock Time - 204, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134026.590178, Logical Clock Time - 205, Queue Length - 0
INFO:root:Sent Message: System Time - 1678134027.096879, Logical Clock Time - 206, Queue Length - 0, Message - [machine 0, task 2] the time is 205
INFO:root:Received Message: System Time - 1678134027.6047812, Logical Clock Time - 223, Queue Length - 1
INFO:root:Received Message: System Time - 1678134028.112278, Logical Clock Time - 224, Queue Length - 0
INFO:root:Received Message: System Time - 1678134028.6150122, Logical Clock Time - 229, Queue Length - 0
INFO:root:Sent Message: System Time - 1678134029.122041, Logical Clock Time - 230, Queue Length - 0, Message - [machine 0, task 1] the time is 229
INFO:root:Received Message: System Time - 1678134029.6282601, Logical Clock Time - 235, Queue Length - 0
INFO:root:Received Message: System Time - 1678134030.130952, Logical Clock Time - 237, Queue Length - 0
INFO:root:Received Message: System Time - 1678134030.634357, Logical Clock Time - 241, Queue Length - 0
INFO:root:Received Message: System Time - 1678134031.142259, Logical Clock Time - 242, Queue Length - 0
INFO:root:Received Message: System Time - 1678134031.645626, Logical Clock Time - 244, Queue Length - 0
INFO:root:Received Message: System Time - 1678134032.150843, Logical Clock Time - 249, Queue Length - 1
INFO:root:Received Message: System Time - 1678134032.6549509, Logical Clock Time - 250, Queue Length - 0
INFO:root:Received Message: System Time - 1678134033.16203, Logical Clock Time - 251, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134033.6658719, Logical Clock Time - 252, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134034.173434, Logical Clock Time - 253, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134034.676938, Logical Clock Time - 254, Queue Length - 0
INFO:root:Received Message: System Time - 1678134035.184145, Logical Clock Time - 267, Queue Length - 0
INFO:root:Sent Message: System Time - 1678134035.6876538, Logical Clock Time - 268, Queue Length - 0, Message - [machine 0, task 1] the time is 267
INFO:root:Received Message: System Time - 1678134036.193166, Logical Clock Time - 270, Queue Length - 0
INFO:root:Received Message: System Time - 1678134036.6973388, Logical Clock Time - 277, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134037.199123, Logical Clock Time - 278, Queue Length - 0
INFO:root:Sent Message: System Time - 1678134037.7062058, Logical Clock Time - 279, Queue Length - 0, Message - [machine 0, task 3] the time is 278
INFO:root:Received Message: System Time - 1678134038.212218, Logical Clock Time - 285, Queue Length - 0
INFO:root:Received Message: System Time - 1678134038.719611, Logical Clock Time - 287, Queue Length - 1
INFO:root:Received Message: System Time - 1678134039.2262049, Logical Clock Time - 288, Queue Length - 1
INFO:root:Received Message: System Time - 1678134039.73069, Logical Clock Time - 289, Queue Length - 1
INFO:root:Received Message: System Time - 1678134040.235892, Logical Clock Time - 293, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134040.742132, Logical Clock Time - 294, Queue Length - 0
INFO:root:Received Message: System Time - 1678134041.244899, Logical Clock Time - 301, Queue Length - 1
INFO:root:Received Message: System Time - 1678134041.752596, Logical Clock Time - 303, Queue Length - 0
INFO:root:Received Message: System Time - 1678134042.259545, Logical Clock Time - 306, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134042.766748, Logical Clock Time - 307, Queue Length - 0
INFO:root:Received Message: System Time - 1678134043.274645, Logical Clock Time - 313, Queue Length - 1
INFO:root:Received Message: System Time - 1678134043.778931, Logical Clock Time - 314, Queue Length - 1
INFO:root:Received Message: System Time - 1678134044.286746, Logical Clock Time - 316, Queue Length - 1
INFO:root:Received Message: System Time - 1678134044.792423, Logical Clock Time - 319, Queue Length - 1
INFO:root:Received Message: System Time - 1678134045.2984, Logical Clock Time - 324, Queue Length - 0
INFO:root:Received Message: System Time - 1678134045.805177, Logical Clock Time - 328, Queue Length - 0
INFO:root:Internal Event: System Time - 1678134046.3118029, Logical Clock Time - 329, Queue Length - 0
INFO:root:Received Message: System Time - 1678134046.8196878, Logical Clock Time - 333, Queue Length - 1
INFO:root:Received Message: System Time - 1678134047.323908, Logical Clock Time - 334, Queue Length - 1
INFO:root:Received Message: System Time - 1678134047.8303978, Logical Clock Time - 335, Queue Length - 2
INFO:root:Received Message: System Time - 1678134048.338475, Logical Clock Time - 339, Queue Length - 1
INFO:root:Received Message: System Time - 1678134048.8459609, Logical Clock Time - 341, Queue Length - 0
